TIME	Sat + Tue			Sat	Sun + Wed			Sun		Mon		Tue		Wed		Thu	Fri
	CN	ML	PMG	MM-lab	CN	ML	PMG	CN-lab	MM-lab	CN-lab	MM-lab	CN-lab	MM-lab	CN-lab	MM-lab	xxx	xxx
8:30	ASKP-A	A	RJR-A	MSTR-A	AKMMI-F	AsAr-B	RJR-E		C	TaH-A		E	ArBh-F	AIMM-I	I	x	x
														L	L	x	x
9:50	MNK-B		MdMH-B		G		MdMH-F									x	x
11:10	ASKP-C		RJR-C	ArBh-B	AKMMI-H	SaIs-G	MdMH-G	TaH-B	RNF-D	SBZ-F	MfSh-M	TaH-H	G	J	RNF-J	x	x
								D								x	x
12:30	AIMM-D	Ojn-E			I											x	x
13:50	AIMM-E	D	MdMH-D		ME-J	F	SSSf-H	AIMM-C	AbHn-E	TaH-G			MSTR-H	MdMH-K	K	x	x
															N	x	x
15:10					ME-K	SaIs-C	SSSf-I									x	x
